order_id,customer_id,product_id,quantity,order_date,order_status
1,1,101,2,01/03/2024,Completed
2,2,103,1,01/04/2024,Pending
3,3,105,3,01/06/2024,Completed
4,4,102,2,01/07/2024,Cancelled
5,5,104,1,01/08/2024,Completed
6,6,106,4,01/09/2024,Completed
7,7,107,1,01/10/2024,Pending
8,8,108,2,01/12/2024,Completed
9,9,101,1,1/13/2024,Completed
10,10,109,5,1/14/2024,Completed
11,11,110,2,1/15/2024,Pending
12,12,102,1,1/16/2024,Completed
13,13,103,3,1/18/2024,Completed
14,14,104,2,1/19/2024,Cancelled
15,15,105,1,1/20/2024,Completed
16,1,106,2,1/21/2024,Completed
17,2,107,4,1/22/2024,Pending
18,3,108,1,1/24/2024,Completed
19,4,109,3,1/25/2024,Completed
20,5,110,2,1/26/2024,Completed
21,6,101,1,1/27/2024,Completed
22,7,102,2,1/28/2024,Pending
23,8,103,3,1/29/2024,Completed
24,9,104,1,1/30/2024,Completed
25,10,105,2,02/01/2024,Completed
26,11,106,3,02/02/2024,Completed
27,12,107,1,02/03/2024,Pending
28,13,108,4,02/04/2024,Completed
29,14,109,2,02/05/2024,Cancelled
30,15,110,3,02/06/2024,Completed
31,1,101,1,02/07/2024,Completed
32,2,102,2,02/08/2024,Pending
33,3,103,3,02/09/2024,Completed
34,4,104,1,02/10/2024,Completed
35,5,105,2,02/11/2024,Completed
36,6,106,1,02/12/2024,Completed
37,7,107,3,2/13/2024,Pending
38,8,108,2,2/14/2024,Completed
39,9,109,4,2/15/2024,Completed
40,10,110,1,2/16/2024,Completed
41,11,101,2,2/17/2024,Completed
42,12,102,3,2/18/2024,Pending
43,13,103,1,2/19/2024,Completed
44,14,104,2,2/20/2024,Completed
45,15,105,3,2/21/2024,Completed
46,1,106,1,2/22/2024,Completed
47,2,107,4,2/23/2024,Pending
48,3,108,2,2/24/2024,Completed
49,4,109,3,2/25/2024,Completed
50,5,110,1,2/26/2024,Completed
51,6,101,2,2/27/2024,Completed
52,7,102,1,2/28/2024,Pending
53,8,103,2,2/29/2024,Completed
54,9,104,3,03/01/2024,Completed
55,10,105,2,03/02/2024,Completed
56,11,106,1,03/03/2024,Completed
57,12,107,4,03/04/2024,Pending
58,13,108,2,03/05/2024,Completed
59,14,109,3,03/06/2024,Completed
60,15,110,1,03/07/2024,Completed
61,1,101,3,03/08/2024,Completed
62,2,102,2,03/09/2024,Pending
63,3,103,1,03/10/2024,Completed
64,4,104,4,03/11/2024,Completed
65,5,105,2,03/12/2024,Completed
66,6,106,3,3/13/2024,Completed
67,7,107,2,3/14/2024,Pending
68,8,108,1,3/15/2024,Completed
69,9,109,3,3/16/2024,Completed
70,10,110,2,3/17/2024,Completed
71,11,101,1,3/18/2024,Completed
72,12,102,3,3/19/2024,Pending
73,13,103,2,3/20/2024,Completed
74,14,104,1,3/21/2024,Completed
75,15,105,4,3/22/2024,Completed
76,1,106,2,3/23/2024,Completed
77,2,107,3,3/24/2024,Pending
78,3,108,1,3/25/2024,Completed
79,4,109,2,3/26/2024,Completed
80,5,110,3,3/27/2024,Completed
81,6,101,1,3/28/2024,Completed
82,7,102,2,3/29/2024,Pending
83,8,103,3,3/30/2024,Completed
84,9,104,1,3/31/2024,Completed
85,10,105,2,04/01/2024,Completed
86,11,106,3,04/02/2024,Completed
87,12,107,2,04/03/2024,Pending
88,13,108,1,04/04/2024,Completed
89,14,109,3,04/05/2024,Completed
90,15,110,2,04/06/2024,Completed
91,1,101,1,04/07/2024,Completed
92,2,102,2,04/08/2024,Pending
93,3,103,3,04/09/2024,Completed
94,4,104,1,04/10/2024,Completed
95,5,105,2,04/11/2024,Completed
96,6,106,3,04/12/2024,Completed
97,7,107,2,4/13/2024,Pending
98,8,108,1,4/14/2024,Completed
99,9,109,3,4/15/2024,Completed
100,10,110,2,4/16/2024,Completed
101,11,101,2,4/17/2024,Completed
102,12,102,1,4/18/2024,Pending
103,13,103,3,4/19/2024,Completed
104,14,104,2,4/20/2024,Completed
105,15,105,1,4/21/2024,Completed
106,1,106,4,4/22/2024,Completed
107,2,107,2,4/23/2024,Pending
108,3,108,1,4/24/2024,Completed
